epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.26542,1.97217,3.48861,1.13617,0.01649,0.8255,0.04277,0.01765,1.57603,3.39176,0.90826,0.00024,0.00024,0.00024
2,4.74271,1.7613,1.43153,0.99517,0.01593,0.94631,0.0412,0.01672,1.54842,3.11905,0.91108,0.00049505,0.00049505,0.00049505
3,6.17595,1.58508,1.10166,0.96986,0.01763,0.97315,0.02405,0.01116,1.48665,3.24198,0.89916,0.000744952,0.000744952,0.000744952
4,7.59536,1.57876,0.98509,0.96122,0.01201,0.97315,0.39605,0.17038,1.60053,2.83457,0.93668,0.000989706,0.000989706,0.000989706
5,9.1315,1.66244,1.01166,0.98673,0.9435,0.67245,0.90679,0.46013,1.44532,2.25317,0.88777,0.00122931,0.00122931,0.00122931
6,10.7271,1.54746,0.91026,0.95364,0.98037,0.33527,0.89324,0.51291,1.36756,1.92506,0.87686,0.00146377,0.00146377,0.00146377
7,12.287,1.46993,0.85908,0.95118,0.86799,0.65772,0.8686,0.45475,1.39181,1.65874,0.86898,0.00169308,0.00169308,0.00169308
8,13.8309,1.473,0.83682,0.9422,0.835,0.91275,0.9378,0.51085,1.45866,0.92105,0.88762,0.0018614,0.0018614,0.0018614
9,15.2925,1.51032,0.8869,0.95193,0.92576,0.9396,0.97019,0.5286,1.49687,0.94194,0.91392,0.0018416,0.0018416,0.0018416
10,16.7758,1.46024,0.87249,0.92797,0.90176,0.93289,0.9617,0.55863,1.42856,0.77863,0.89675,0.0018218,0.0018218,0.0018218
11,18.1394,1.50052,0.85848,0.9397,0.90422,0.88709,0.95206,0.53586,1.46037,0.79354,0.90711,0.001802,0.001802,0.001802
12,19.4602,1.44414,0.77619,0.92532,0.89007,0.76075,0.87852,0.52464,1.39822,1.16757,0.88775,0.0017822,0.0017822,0.0017822
13,20.7455,1.4333,0.76901,0.93411,0.95541,0.8629,0.96499,0.53402,1.49007,0.79375,0.89623,0.0017624,0.0017624,0.0017624
14,22.0475,1.42484,0.74725,0.92972,0.93361,0.9438,0.97093,0.58285,1.34395,0.75938,0.87213,0.0017426,0.0017426,0.0017426
15,23.345,1.36558,0.7192,0.91552,0.90233,0.90604,0.95666,0.55658,1.35056,0.68499,0.86932,0.0017228,0.0017228,0.0017228
16,24.6519,1.41603,0.74509,0.92334,0.97884,0.93141,0.96819,0.59412,1.26341,0.65123,0.85147,0.001703,0.001703,0.001703
17,25.9416,1.39959,0.70998,0.92671,0.94752,0.94631,0.96906,0.5982,1.26443,0.63492,0.85888,0.0016832,0.0016832,0.0016832
18,27.2439,1.39263,0.70397,0.92592,0.98516,0.97315,0.98252,0.58729,1.36409,0.66641,0.86699,0.0016634,0.0016634,0.0016634
19,28.5353,1.4009,0.71609,0.93358,0.96689,0.97982,0.98634,0.58491,1.38414,0.65928,0.8819,0.0016436,0.0016436,0.0016436
20,29.8287,1.44196,0.71146,0.932,0.87517,0.83221,0.88348,0.40876,1.71792,0.80701,0.93659,0.0016238,0.0016238,0.0016238
